"","X1","X2","X3","technology"
"593","Mandal, B, Majumder, B, Bandyopadhyay, PK, Hazra, GC, Gangopadhyay, A, Samantaray, RN, Mishra, AK, Chaudhury, J, Saha, MN, Kundu, S (2007) The potential of cropping systems and soil amendments for carbon sequestration in soils under long-term experiments in subtropical India","2007","http://dx.doi.org/10.1111/j.1365-2486.2006.01309.x","Soil Carbon Sequestration"
"594","Bostick, WM, Bado, VB, Bationo, A, Soler, CT, Hoogenboom, G, Jones, JW (2007) Soil carbon dynamics and crop residue yields of cropping systems in the Northern Guinea Savanna of Burkina Faso","2007","http://dx.doi.org/10.1016/j.still.2006.03.020","Soil Carbon Sequestration"
"595","Harper, RJ, Beck, AC, Ritson, P, Hill, MJ, Mitchell, CD, Barrett, DJ, Smettem, KRJ, Mann, SS (2007) The potential of greenhouse sinks to underwrite improved land management","2007","http://dx.doi.org/10.1016/j.ecoleng.2006.09.025","Soil Carbon Sequestration"
"596","Yan, HM, Cao, MK, Liu, JY, Tao, B (2007) Potential and sustainability for carbon sequestration with improved soil management in agricultural soils of China","2007","http://dx.doi.org/10.1016/j.agee.2006.11.008","Soil Carbon Sequestration"
"597","Farage, PK, Ardo, J, Olsson, L, Rienzi, EA, Ball, AS, Pretty, JN (2007) The potential for soil carbon sequestration in three tropical dryland farming systems of Africa and Latin America: A modelling approach","2007","http://dx.doi.org/10.1016/j.still.2006.09.006","Soil Carbon Sequestration"
"598","Chen, LD, Gong, J, Fu, BJ, Huang, ZL, Huang, YL, Gui, LD (2007) Effect of land use conversion on soil organic carbon sequestration in the loess hilly area, loess plateau of China","2007","http://dx.doi.org/10.1007/s11284-006-0065-1","Soil Carbon Sequestration"
"599","Post, J, Krysanova, V, Suckow, F, Mirschel, W, Rogasik, J, Merbach, I (2007) Integrated eco-hydrological modelling of soil organic matter dynamics for the assessment of environmental change impacts in meso- to macro-scale river basins","2007","http://dx.doi.org/10.1016/j.ecolmodel.2007.03.028","Soil Carbon Sequestration"
"600","Han, FXX, Plodinec, MJ, Su, Y, Monts, DL, Li, ZP (2007) Terrestrial carbon pools in southeast and south-central United States","2007","http://dx.doi.org/10.1007/s10584-007-9244-5","Soil Carbon Sequestration"
"601","Minamikawa, K, Sakai, N (2007) Soil carbon budget in a single-cropping paddy field with rice straw application and water management based on soil redox potential","2007","http://dx.doi.org/10.1111/j.1747-0765.2007.00172.x","Soil Carbon Sequestration"
"602","Lal, R, Follett, F, Stewart, BA, Kimble, JM (2007) Soil carbon sequestration to mitigate climate change and advance food security","2007","http://dx.doi.org/10.1097/ss.0b013e31815cc498","Soil Carbon Sequestration"
"603","Smith, P, Martino, D, Cai, Z, Gwary, D, Janzen, H, Kumar, P, McCarl, B, Ogle, S, O'Mara, F, Rice, C, Scholes, B, Sirotenko, O, Howden, M, McAllister, T, Pan, G, Romanenkov, V, Schneider, U, Towprayoon, S, Wattenbach, M, Smith, J (2008) Greenhouse gas mitigation in agriculture","2008","http://dx.doi.org/10.1098/rstb.2007.2184","Soil Carbon Sequestration"
"604","DeLuca, TH, Aplet, GH (2008) Charcoal and carbon storage in forest soils of the Rocky Mountain West","2008","http://dx.doi.org/10.1890/070070","Soil Carbon Sequestration"
"605","Hermle, S, Anken, T, Leifeld, J, Weisskopf, P (2008) The effect of the tillage system on soil organic carbon content under moist, cold-temperate conditions","2008","http://dx.doi.org/10.1016/j.still.2007.10.010","Soil Carbon Sequestration"
"606","Wu, L, He, N, Wang, Y, Han, X (2008) Storage and dynamics of carbon and nitrogen in soil after grazing exclusion in Leymus chinensis grasslands of northern China","2008","http://dx.doi.org/10.2134/jeq2007.0196","Soil Carbon Sequestration"
"607","Kustermann, B, Kainz, M, Hulsbergen, KJ (2008) Modeling carbon cycles and estimation of greenhouse gas emissions from organic and conventional farming systems","2008","http://dx.doi.org/10.1017/S1742170507002062","Soil Carbon Sequestration"
"608","Thomson, AM, Izaurralde, RC, Smith, SJ, Clarke, LE (2008) Integrated estimates of global terrestrial carbon sequestration","2008","http://dx.doi.org/10.1016/j.gloenvcha.2007.10.002","Soil Carbon Sequestration"
"609","Teklay, T, Chang, SX (2008) Temporal changes in soil carbon and nitrogen storage in a hybrid poplar chronosequence in northern Alberta","2008","http://dx.doi.org/10.1016/j.geoderma.2008.01.023","Soil Carbon Sequestration"
"610","Lal, R (2008) Soil carbon stocks under present and future climate with specific reference to European ecoregions","2008","http://dx.doi.org/10.1007/s10705-007-9147-x","Soil Carbon Sequestration"
"611","Katterer, T, Andersson, L, Andren, O, Persson, J (2008) Long-term impact of chronosequential land use change on soil carbon stocks on a Swedish farm","2008","http://dx.doi.org/10.1007/s10705-007-9156-9","Soil Carbon Sequestration"
"612","Ji, JJ, Huang, M, Li, KR (2008) Prediction of carbon exchanges between China terrestrial ecosystem and atmosphere in 21st century","2008","http://dx.doi.org/10.1007/s11430-008-0039-y","Soil Carbon Sequestration"
"613","Lugato, E, Berti, A (2008) Potential carbon sequestration in a cultivated soil under different climate change scenarios: A modelling approach for evaluating promising management practices in north-east Italy","2008","http://dx.doi.org/10.1016/j.agee.2008.05.005","Soil Carbon Sequestration"
"614","Huh, KY, Deurer, M, Sivakumaran, S, McAuliffe, K, Bolan, NS (2008) Carbon sequestration in urban landscapes: the example of a turfgrass system in New Zealand","2008","http://dx.doi.org/10.1071/SR07212","Soil Carbon Sequestration"
"616","Albaladejo, J, Lopez, J, Boix-Fayos, C, Barbera, GG, Martinez-Mena, M (2008) Long-term Effect of a Single Application of Organic Refuse on Carbon Sequestration and Soil Physical Properties","2008","http://dx.doi.org/10.2134/jeq2007.0653","Soil Carbon Sequestration"
"617","Billen, N, Roder, C, Gaiser, T, Stahr, K (2009) Carbon sequestration in soils of SW-Germany as affected by agricultural management-Calibration of the EPIC model for regional simulations","2009","http://dx.doi.org/10.1016/j.ecolmodel.2008.08.015","Soil Carbon Sequestration"
"618","Lu, F, Wang, XK, Han, B, Ouyang, ZY, Duan, XN, Zheng, H, Miao, H (2009) Soil carbon sequestrations by nitrogen fertilizer application, straw return and no-tillage in China's cropland","2009","http://dx.doi.org/10.1111/j.1365-2486.2008.01743.x","Soil Carbon Sequestration"
"619","Busse, MD, Sanchez, FG, Ratcliff, AW, Butnor, JR, Carter, EA, Powers, RF (2009) Soil carbon sequestration and changes in fungal and bacterial biomass following incorporation of forest residues","2009","http://dx.doi.org/10.1016/j.soilbio.2008.10.012","Soil Carbon Sequestration"
"620","Liao, QL, Zhang, XH, Li, ZP, Pan, GX, Smith, P, Jin, Y, Wu, XM (2009) Increase in soil organic carbon stock over the last two decades in China's Jiangsu Province","2009","http://dx.doi.org/10.1111/j.1365-2486.2008.01792.x","Soil Carbon Sequestration"
"621","Carvalho, JLN, Cerri, CEP, Feigl, BJ, Godinho, VP, Piccolo, MC, Cerri, CC (2009) Carbon sequestration in agricultural soils in the Cerrado region of the Brazilian Amazon","2009","http://dx.doi.org/10.1016/j.still.2008.10.022","Soil Carbon Sequestration"
"622","Campbell, JE, Fox, JF, Davis, CM, Rowe, HD, Thompson, N (2009) Carbon and Nitrogen Isotopic Measurements from Southern Appalachian Soils: Assessing Soil Carbon Sequestration under Climate and Land-Use Variation","2009","http://dx.doi.org/10.1061/(ASCE)EE.1943-7870.0000008","Soil Carbon Sequestration"
"623","Ussiri, DAN, Lal, R (2009) Long-term tillage effects on soil carbon storage and carbon dioxide emissions in continuous corn cropping system from an alfisol in Ohio","2009","http://dx.doi.org/10.1016/j.still.2008.11.008","Soil Carbon Sequestration"
"624","Yu, YY, Guo, ZT, Wu, HB, Kahmann, JA, Oldfield, F (2009) Spatial changes in soil organic carbon density and storage of cultivated soils in China from 1980 to 2000","2009","http://dx.doi.org/10.1029/2008GB003428","Soil Carbon Sequestration"
"625","Lal, R (2009) SEQUESTERING CARBON IN SOILS OF ARID ECOSYSTEMS","2009","http://dx.doi.org/10.1002/ldr.934","Soil Carbon Sequestration"
"626","Vieira, FCB, Bayer, C, Zanatta, JA, Mielniczuk, J, Six, J (2009) Building Up Organic Matter in a Subtropical Paleudult under Legume Cover-Crop-Based Rotations","2009","http://dx.doi.org/10.2136/sssaj2008.0241","Soil Carbon Sequestration"
"627","Passoni, A, Morari, F, Salvato, M, Borin, M (2009) Medium-term evolution of soil properties in a constructed surface flow wetland with fluctuating hydroperiod in North Eastern Italy","2009","http://dx.doi.org/10.1016/j.desal.2008.02.041","Soil Carbon Sequestration"
"628","Yadav, V, Malanson, GP, Bekele, E, Lant, C (2009) Modeling watershed-scale sequestration of soil organic carbon for carbon credit programs","2009","http://dx.doi.org/10.1016/j.apgeog.2009.04.001","Soil Carbon Sequestration"
"629","Nair, PKR, Nair, VD, Kumar, BM, Haile, SG (2009) Soil carbon sequestration in tropical agroforestry systems: a feasibility appraisal","2009","http://dx.doi.org/10.1016/j.envsci.2009.01.010","Soil Carbon Sequestration"
"631","Bellassen, V, Manlay, RJ, Chery, JP, Gitz, V, Toure, A, Bernoux, M, Chotte, JL (2010) Multi-criteria spatialization of soil organic carbon sequestration potential from agricultural intensification in Senegal","2010","http://dx.doi.org/10.1007/s10584-009-9635-x","Soil Carbon Sequestration"
"632","Cherubini, F, Jungmeier, G (2010) LCA of a biorefinery concept producing bioethanol, bioenergy, and chemicals from switchgrass","2010","http://dx.doi.org/10.1007/s11367-009-0124-2","Soil Carbon Sequestration"
"633","Pineiro, G, Paruelo, JM, Oesterheld, M, Jobbagy, EG (2010) Pathways of Grazing Effects on Soil Organic Carbon and Nitrogen","2010","http://dx.doi.org/10.2111/08-255.1","Soil Carbon Sequestration"
"634","Rootzen, JM, Berndes, G, Ravindranath, NH, Somashekar, HI, Murthy, IK, Sudha, P, Ostwald, M (2010) Carbon sequestration versus bioenergy: A case study from South India exploring the relative land-use efficiency of two options for climate change mitigation","2010","http://dx.doi.org/10.1016/j.biombioe.2009.10.008","Soil Carbon Sequestration"
"635","Saha, SK, Nair, PKR, Nair, VD, Kumar, BM (2010) Carbon storage in relation to soil size-fractions under tropical tree-based land-use systems","2010","http://dx.doi.org/10.1007/s11104-009-0123-x","Soil Carbon Sequestration"
"636","Chan, KY, Oates, A, Li, GD, Conyers, MK, Prangnell, RJ, Poile, G, Liu, DL, Barchia, IM (2010) Soil carbon stocks under different pastures and pasture management in the higher rainfall areas of south-eastern Australia","2010","http://dx.doi.org/10.1071/SR09092","Soil Carbon Sequestration"
"637","Franzluebbers, AJ (2010) Achieving Soil Organic Carbon Sequestration with Conservation Agricultural Systems in the Southeastern United States","2010","http://dx.doi.org/10.2136/sssaj2009.0079","Soil Carbon Sequestration"
"638","Soussana, JF, Tallec, T, Blanfort, V (2010) Mitigating the greenhouse gas balance of ruminant production systems through carbon sequestration in grasslands","2010","http://dx.doi.org/10.1017/S1751731109990784","Soil Carbon Sequestration"
"639","Baethgen, WE (2010) Climate Risk Management for Adaptation to Climate Variability and Change","2010","http://dx.doi.org/10.2135/cropsci2009.09.0526","Soil Carbon Sequestration"
"640","Banger, K, Toor, GS, Biswas, A, Sidhu, SS, Sudhir, K (2010) Soil organic carbon fractions after 16-years of applications of fertilizers and organic manure in a Typic Rhodalfs in semi-arid tropics","2010","http://dx.doi.org/10.1007/s10705-009-9301-8","Soil Carbon Sequestration"
"641","Gamboa, AM, Hidalgo, C, De Leon, F, Etchevers, JD, Gallardo, JF, Campo, J (2010) Nutrient Addition Differentially Affects Soil Carbon Sequestration in Secondary Tropical Dry Forests: Early- versus Late-Succession Stages","2010","http://dx.doi.org/10.1111/j.1526-100X.2008.00432.x","Soil Carbon Sequestration"
"642","Maia, SMF, Ogle, SM, Cerri, CC, Cerri, CEP (2010) Changes in soil organic carbon storage under different agricultural management systems in the Southwest Amazon Region of Brazil","2010","http://dx.doi.org/10.1016/j.still.2009.12.005","Soil Carbon Sequestration"
"643","Lo Seen, D, Ramesh, BR, Nair, KM, Martin, M, Arrouays, D, Bourgeon, G (2010) Soil carbon stocks, deforestation and land-cover changes in the Western Ghats biodiversity hotspot (India)","2010","http://dx.doi.org/10.1111/j.1365-2486.2009.02127.x","Soil Carbon Sequestration"
"644","Nieto, OM, Castro, J, Fernandez, E, Smith, P (2010) Simulation of soil organic carbon stocks in a Mediterranean olive grove under different soil-management systems using the RothC model","2010","http://dx.doi.org/10.1111/j.1475-2743.2010.00265.x","Soil Carbon Sequestration"
"645","Scialabba, NEH, Muller-Lindenlauf, M (2010) Organic agriculture and climate change","2010","http://dx.doi.org/10.1017/S1742170510000116","Soil Carbon Sequestration"
"646","Lasch, P, Kollas, C, Rock, J, Suckow, F (2010) Potentials and impacts of short-rotation coppice plantation with aspen in Eastern Germany under conditions of climate change","2010","http://dx.doi.org/10.1007/s10113-009-0095-7","Soil Carbon Sequestration"
"647","Fernandez-Nunez, E, Rigueiro-Rodriguez, A, Mosquera-Losada, MR (2010) Carbon allocation dynamics one decade after afforestation with Pinus radiata D. Don and Betula alba L. under two stand densities in NW Spain","2010","http://dx.doi.org/10.1016/j.ecoleng.2010.03.007","Soil Carbon Sequestration"
"649","Bagchi, S, Ritchie, ME (2010) Introduced grazers can restrict potential soil carbon sequestration through impacts on plant community composition","2010","http://dx.doi.org/10.1111/j.1461-0248.2010.01486.x","Soil Carbon Sequestration"
"650","Qin, Z, Huang, Y (2010) Quantification of soil organic carbon sequestration potential in cropland: A model approach","2010","http://dx.doi.org/10.1007/s11427-010-4023-3","Soil Carbon Sequestration"
"651","Leifeld, J, Fuhrer, J (2010) Organic Farming and Soil Carbon Sequestration: What Do We Really Know About the Benefits?","2010","http://dx.doi.org/10.1007/s13280-010-0082-8","Soil Carbon Sequestration"
"652","Luo, ZK, Wang, EL, Sun, OJ (2010) Can no-tillage stimulate carbon sequestration in agricultural soils? A meta-analysis of paired experiments","2010","http://dx.doi.org/10.1016/j.agee.2010.08.006","Soil Carbon Sequestration"
"653","Arora, VK, Boer, GJ (2010) Uncertainties in the 20th century carbon budget associated with land use change","2010","http://dx.doi.org/10.1111/j.1365-2486.2010.02202.x","Soil Carbon Sequestration"
"654","Lal, R (2010) Beyond Copenhagen: mitigating climate change and achieving food security through soil carbon sequestration","2010","http://dx.doi.org/10.1007/s12571-010-0060-9","Soil Carbon Sequestration"
"655","Alvaro-Fuentes, J, Paustian, K (2011) Potential soil carbon sequestration in a semiarid Mediterranean agroecosystem under climate change: Quantifying management and climate effects","2011","http://dx.doi.org/10.1007/s11104-010-0304-7","Soil Carbon Sequestration"
"656","Sommer, R, de Pauw, E (2011) Organic carbon in soils of Central Asia-status quo and potentials for sequestration","2011","http://dx.doi.org/10.1007/s11104-010-0479-y","Soil Carbon Sequestration"
"657","Smith, J, Gottschalk, P, Bellarby, J, Chapman, S, Lilly, A, Towers, W, Bell, J, Coleman, K, Nayak, D, Richards, M, Hillier, J, Flynn, H, Wattenbach, M, Aitkenhead, M, Yeluripati, J, Farmer, J, Milne, R, Thomson, A, Evans, C, Whitmore, A, Falloon, P, Smith, P (2010) Estimating changes in Scottish soil carbon stocks using ECOSSE. II. Application","2010","http://dx.doi.org/10.3354/cr00902","Soil Carbon Sequestration"
"658","Glenk, K, Colombo, S (2011) Designing policies to mitigate the agricultural contribution to climate change: an assessment of soil based carbon sequestration and its ancillary effects","2011","http://dx.doi.org/10.1007/s10584-010-9885-7","Soil Carbon Sequestration"
"659","Lal, R (2011) Sequestering carbon in soils of agro-ecosystems","2011","http://dx.doi.org/10.1016/j.foodpol.2010.12.001","Soil Carbon Sequestration"
"660","Pathak, H, Byjesh, K, Chakrabarti, B, Aggarwal, PK (2011) Potential and cost of carbon sequestration in Indian agriculture: Estimates from long-term field experiments","2011","http://dx.doi.org/10.1016/j.fcr.2010.09.006","Soil Carbon Sequestration"
"661","Haefele, SM, Konboon, Y, Wongboon, W, Amarante, S, Maarifat, AA, Pfeiffer, EM, Knoblauch, C (2011) Effects and fate of biochar from rice residues in rice-based systems","2011","http://dx.doi.org/10.1016/j.fcr.2011.01.014","Soil Carbon Sequestration"
"662","Vaccari, FP, Baronti, S, Lugato, E, Genesio, L, Castaldi, S, Fornasier, F, Miglietta, F (2011) Biochar as a strategy to sequester carbon and increase yield in durum wheat","2011","http://dx.doi.org/10.1016/j.eja.2011.01.006","Soil Carbon Sequestration"
"663","Richards, AE, Cook, GD, Lynch, BT (2011) Optimal Fire Regimes for Soil Carbon Storage in Tropical Savannas of Northern Australia","2011","http://dx.doi.org/10.1007/s10021-011-9428-8","Soil Carbon Sequestration"
"665","Xu, NZ, Zhang, TL, Wang, XX, Liu, HY (2011) Soil organic carbon storage changes in Yangtze Delta region, China","2011","http://dx.doi.org/10.1007/s12665-010-0778-x","Soil Carbon Sequestration"
"666","Brown, S, Kurtz, K, Bary, A, Cogger, C (2011) Quantifying Benefits Associated with Land Application of Organic Residuals in Washington State","2011","http://dx.doi.org/10.1021/es2010418","Soil Carbon Sequestration"
"667","Zhuang, SY, Sun, X, Liu, GQ, Wong, MH, Cao, ZH (2011) Carbon Sequestration in Bamboo Plantation Soil with Heavy Winter Organic Mulching Management","2011","http://dx.doi.org/10.1007/s12229-011-9081-0","Soil Carbon Sequestration"
"668","Bruckman, VJ, Yan, S, Hochbichler, E, Glatzel, G (2011) Carbon pools and temporal dynamics along a rotation period in Quercus dominated high forest and coppice with standards stands","2011","http://dx.doi.org/10.1016/j.foreco.2011.08.006","Soil Carbon Sequestration"
"669","Xu, SX, Shi, XZ, Zhao, YC, Yu, DS, Li, CS, Wang, SH, Tan, MZ, Sun, WX (2011) Carbon sequestration potential of recommended management practices for paddy soils of China, 1980-2050","2011","http://dx.doi.org/10.1016/j.geoderma.2011.08.002","Soil Carbon Sequestration"
"670","Feiziene, D, Feiza, V, Slepetiene, A, Liaudanskiene, I, Kadziene, G, Deveikyte, I, Vaideliene, A (2011) Long-Term Influence of Tillage and Fertilization on Net Carbon Dioxide Exchange Rate on Two Soils with Different Textures","2011","http://dx.doi.org/10.2134/jeq2011.0180","Soil Carbon Sequestration"
"671","Selhorst, AL, Lal, R (2011) Carbon budgeting in golf course soils of Central Ohio","2011","http://dx.doi.org/10.1007/s11252-011-0168-5","Soil Carbon Sequestration"
"672","Zheng, JF, Cheng, K, Pan, GX, Pete, S, Li, LQ, Zhang, XH, Zheng, JW, Han, XJ, Du, YL (2011) Perspectives on studies on soil carbon stocks and the carbon sequestration potential of China","2011","http://dx.doi.org/10.1007/s11434-011-4693-7","Soil Carbon Sequestration"
"673","Novara, A, La Mantia, T, Barbera, V, Gristina, L (2012) Paired-site approach for studying soil organic carbon dynamics in a Mediterranean semiarid environment","2012","http://dx.doi.org/10.1016/j.catena.2011.09.008","Soil Carbon Sequestration"
"674","Smith, P (2012) Agricultural greenhouse gas mitigation potential globally, in Europe and in the UK: what have we learnt in the last 20 years?","2012","http://dx.doi.org/10.1111/j.1365-2486.2011.02517.x","Soil Carbon Sequestration"
"675","Srinivasarao, C, Venkateswarlu, B, Lal, R, Singh, AK, Vittal, KPR, Kundu, S, Singh, SR, Singh, SP (2012) Long-Term Effects of Soil Fertility Management on Carbon Sequestration in a Rice-Lentil Cropping System of the Indo-Gangetic Plains","2012","http://dx.doi.org/10.2136/sssaj2011.0184","Soil Carbon Sequestration"
"676","Cai, ZC (2012) Greenhouse gas budget for terrestrial ecosystems in China","2012","http://dx.doi.org/10.1007/s11430-011-4309-8","Soil Carbon Sequestration"
"677","Grace, PR, Antle, J, Aggarwal, PK, Ogle, S, Paustian, K, Basso, B (2012) Soil carbon sequestration and associated economic costs for farming systems of the Indo-Gangetic Plain: A meta-analysis","2012","http://dx.doi.org/10.1016/j.agee.2011.10.019","Soil Carbon Sequestration"
"678","Kou, TJ, Zhu, P, Huang, S, Peng, XX, Song, ZW, Deng, AX, Gao, HJ, Peng, C, Zhang, WJ (2012) Effects of long-term cropping regimes on soil carbon sequestration and aggregate composition in rainfed farmland of Northeast China","2012","http://dx.doi.org/10.1016/j.still.2011.10.018","Soil Carbon Sequestration"
"679","Jia, JX, Ma, YC, Xiong, ZQ (2012) Net ecosystem carbon budget, net global warming potential and greenhouse gas intensity in intensive vegetable ecosystems in China","2012","http://dx.doi.org/10.1016/j.agee.2012.01.011","Soil Carbon Sequestration"
"680","Srivastava, P, Kumar, A, Behera, SK, Sharma, YK, Singh, N (2012) Soil carbon sequestration: an innovative strategy for reducing atmospheric carbon dioxide concentration","2012","http://dx.doi.org/10.1007/s10531-012-0229-y","Soil Carbon Sequestration"
"681","Lu, YH, Fu, BJ, Feng, XM, Zeng, Y, Liu, Y, Chang, RY, Sun, G, Wu, BF (2012) A Policy-Driven Large Scale Ecological Restoration: Quantifying Ecosystem Services Changes in the Loess Plateau of China","2012","http://dx.doi.org/10.1371/journal.pone.0031782","Soil Carbon Sequestration"
"682","Stavi, I (2012) The potential use of biochar in reclaiming degraded rangelands","2012","http://dx.doi.org/10.1080/09640568.2011.620333","Soil Carbon Sequestration"
"683","Don, A, Osborne, B, Hastings, A, Skiba, U, Carter, MS, Drewer, J, Flessa, H, Freibauer, A, Hyvonen, N, Jones, MB, Lanigan, GJ, Mander, U, Monti, A, Djomo, SN, Valentine, J, Walter, K, Zegada-Lizarazu, W, Zenone, T (2012) Land-use change to bioenergy production in Europe: implications for the greenhouse gas balance and soil carbon","2012","http://dx.doi.org/10.1111/j.1757-1707.2011.01116.x","Soil Carbon Sequestration"
"684","Zimmermann, J, Dauber, J, Jones, MB (2012) Soil carbon sequestration during the establishment phase of Miscanthus x giganteus: a regional-scale study on commercial farms using C-13 natural abundance","2012","http://dx.doi.org/10.1111/j.1757-1707.2011.01117.x","Soil Carbon Sequestration"
"685","Alvaro-Fuentes, J, Easter, M, Paustian, K (2012) Climate change effects on organic carbon storage in agricultural soils of northeastern Spain","2012","http://dx.doi.org/10.1016/j.agee.2012.04.001","Soil Carbon Sequestration"
"686","Callaway, JC, Borgnis, EL, Turner, RE, Milan, CS (2012) Carbon Sequestration and Sediment Accretion in San Francisco Bay Tidal Wetlands","2012","http://dx.doi.org/10.1007/s12237-012-9508-9","Soil Carbon Sequestration"
"687","Kragt, ME, Pannell, DJ, Robertson, MJ, Thamo, T (2012) Assessing costs of soil carbon sequestration by crop-livestock farmers in Western Australia","2012","http://dx.doi.org/10.1016/j.agsy.2012.06.005","Soil Carbon Sequestration"
"688","Hoogmoed, M, Cunningham, SC, Thomson, JR, Baker, PJ, Beringer, J, Cavagnaro, TR (2012) Does afforestation of pastures increase sequestration of soil carbon in Mediterranean climates?","2012","http://dx.doi.org/10.1016/j.agee.2012.07.011","Soil Carbon Sequestration"
"689","Wang, JY, Zhang, XL, Liu, YL, Pan, XJ, Liu, PL, Chen, ZZ, Huang, TQ, Xiong, ZQ (2012) Modeling Impacts of Alternative Practices on Net Global Warming Potential and Greenhouse Gas Intensity from Rice-Wheat Annual Rotation in China","2012","http://dx.doi.org/10.1371/journal.pone.0045668","Soil Carbon Sequestration"
"690","Kim, DG (2012) Estimation of net gain of soil carbon in a nitrogen-fixing tree and crop intercropping system in sub-Saharan Africa: results from re-examining a study","2012","http://dx.doi.org/10.1007/s10457-011-9477-1","Soil Carbon Sequestration"
"691","Gattinger, A, Muller, A, Haeni, M, Skinner, C, Fliessbach, A, Buchmann, N, Mader, P, Stolze, M, Smith, P, Scialabba, NEH, Niggli, U (2012) Enhanced top soil carbon stocks under organic farming","2012","http://dx.doi.org/10.1073/pnas.1209429109","Soil Carbon Sequestration"
"692","Rodriguez-Entrena, M, Barreiro-Hurle, J, Gomez-Limon, JA, Espinosa-Goded, M, Castro-Rodriguez, J (2012) Evaluating the demand for carbon sequestration in olive grove soils as a strategy toward mitigating climate change","2012","http://dx.doi.org/10.1016/j.jenvman.2012.08.004","Soil Carbon Sequestration"
"693","Piva, JT, Dieckow, J, Bayer, C, Zanatta, JA, de Moraes, A, Pauletti, V, Tomazi, M, Pergher, M (2012) No-till reduces global warming potential in a subtropical Ferralsol","2012","http://dx.doi.org/10.1007/s11104-012-1244-1","Soil Carbon Sequestration"
"694","Mishra, U, Torn, MS, Masanet, E, Ogle, SM (2012) Improving regional soil carbon inventories: Combining the IPCC carbon inventory method with regression kriging","2012","http://dx.doi.org/10.1016/j.geoderma.2012.06.022","Soil Carbon Sequestration"
"696","Lenka, NK, Lal, R (2013) Soil aggregation and greenhouse gas flux after 15 years of wheat straw and fertilizer management in a no-till system","2013","http://dx.doi.org/10.1016/j.still.2012.08.011","Soil Carbon Sequestration"
"698","Stockmann, U, Adams, MA, Crawford, JW, Field, DJ, Henakaarchchi, N, Jenkins, M, Minasny, B, McBratney, AB, de Courcelles, VD, Singh, K, Wheeler, I, Abbott, L, Angers, DA, Baldock, J, Bird, M, Brookes, PC, Chenu, C, Jastrow, JD, Lal, R, Lehmann, J, O'Donnell, AG, Parton, WJ, Whitehead, D, Zimmermann, M (2013) The knowns, known unknowns and unknowns of sequestration of soil organic carbon","2013","http://dx.doi.org/10.1016/j.agee.2012.10.001","Soil Carbon Sequestration"
"699","Ma, YC, Kong, XW, Yang, B, Zhang, XL, Yan, XY, Yang, JC, Xiong, ZQ (2013) Net global warming potential and greenhouse gas intensity of annual rice-wheat rotations with integrated soil-crop system management","2013","http://dx.doi.org/10.1016/j.agee.2012.11.003","Soil Carbon Sequestration"
"700","Robertson, F, Nash, D (2013) Limited potential for soil carbon accumulation using current cropping practices in Victoria, Australia","2013","http://dx.doi.org/10.1016/j.agee.2012.11.004","Soil Carbon Sequestration"
"703","Leifeld, J, Angers, DA, Chenu, C, Fuhrer, J, Katterer, T, Powlson, DS (2013) Organic farming gives no climate change benefit through soil carbon sequestration","2013","http://dx.doi.org/10.1073/pnas.1220724110","Soil Carbon Sequestration"
"705","Nguyen, TTH, Doreau, M, Eugene, M, Corson, MS, Garcia-Launay, F, Chesneau, G, van der Werf, HMG (2013) Effect of farming practices for greenhouse gas mitigation and subsequent alternative land use on environmental impacts of beef cattle production systems","2013","http://dx.doi.org/10.1017/S1751731112002200","Soil Carbon Sequestration"
"706","Zhao, G, Bryan, BA, King, D, Luo, ZK, Wang, EL, Song, XD, Yu, Q (2013) Impact of agricultural management practices on soil organic carbon: simulation of Australian wheat systems","2013","http://dx.doi.org/10.1111/gcb.12145","Soil Carbon Sequestration"
"707","Meki, MN, Kemanian, AR, Potter, SR, Blumenthal, JM, Williams, JR, Gerik, TJ (2013) Cropping system effects on sorghum grain yield, soil organic carbon, and global warming potential in central and south Texas","2013","http://dx.doi.org/10.1016/j.agsy.2013.01.004","Soil Carbon Sequestration"
"708","Smith, LJ, Torn, MS (2013) Ecological limits to terrestrial biological carbon dioxide removal","2013","http://dx.doi.org/10.1007/s10584-012-0682-3","Soil Carbon Sequestration"
"709","He, YJ, Qin, L, Li, ZY, Liang, XY, Shao, MX, Tan, L (2013) Carbon storage capacity of monoculture and mixed-species plantations in subtropical China","2013","http://dx.doi.org/10.1016/j.foreco.2013.01.020","Soil Carbon Sequestration"
"710","Sierra, M, Martinez, FJ, Verde, R, Martin, FJ, Macias, F (2013) Soil-carbon sequestration and soil-carbon fractions, comparison between poplar plantations and corn crops in south-eastern Spain","2013","http://dx.doi.org/10.1016/j.still.2013.01.011","Soil Carbon Sequestration"
"711","Zhao, GM, Sun, X, Ling, L, Liu, ZP (2013) Innovative Artificial Agro-Ecosystems Enhance Soil Carbon Sequestration in Coastal Zones of Southeast China","2013","http://dx.doi.org/10.1002/clen.201200391","Soil Carbon Sequestration"
"713","Cui, J, Zhang, RJ, Bu, NS, Zhang, HB, Tang, BP, Li, ZL, Jiang, LF, Chen, JK, Fang, CM (2013) Changes in soil carbon sequestration and soil respiration following afforestation on paddy fields in north subtropical China","2013","http://dx.doi.org/10.1093/jpe/rts023","Soil Carbon Sequestration"
