wosarticle__ti;wosarticle__ab;wosarticle__py;To include;Costs, potentials, side effects;To read
Cost analysis of air capture driven by wind energy under different scenarios;Reducing the concentration of carbon dioxide (CO2) in the air can effectively alleviate climate change. Air capture, which captures CO2 directly from the air in an industrial process, is an alternative option to address climate change. The results of recent studies on the energy demand in CO2 capture process and the costs of CO2 transport and CO2 storage in air capture are analyzed in this paper. Considering renewable energy will not produce additional CO2 in the process of utilization, the electric energy in CO2 capture process of air capture driven by wind energy is different from that of carbon capture and storage. Taking externalities of renewable energy into account, the trading price of CO2 emission is taken to assess the cost of electric energy in CO2 capture of air capture driven by wind energy. Finally, the total cost and the total cost savings of air capture driven by wind energy under different scenarios are analyzed.;2016;1;1;X
Carbon dioxide emission from bamboo culms;Bamboos are one of the fastest growing plants on Earth, and are widely considered to have high ability to capture and sequester atmospheric carbon, and consequently to mitigate climate change. We tested this hypothesis by measuring carbon dioxide (CO2) emissions from bamboo culms and comparing them with their biomass sequestration potential. We analysed diurnal effluxes from Bambusa vulgaris culm surface and gas mixtures inside hollow sections of various bamboos using gas chromatography. Corresponding variations in gas pressure inside the bamboo section and culm surface temperature were measured. SEM micrographs of rhizome and bud portions of bamboo culms were also recorded. We found very high CO2 effluxes from culm surface, nodes and buds of bamboos. Positive gas pressure and very high concentrations of CO2 were observed inside hollow sections of bamboos. The CO2 effluxes observed from bamboos were very high compared to their carbon sequestration potential. Our measurements suggest that bamboos are net emitters of CO2 during their lifespan.;2016;0;0;
New developments on carbon dioxide capture using amine-impregnated silicas;A series of representative amines were impregnated on SBA-15 mesostructured silica. Ethylenediamine, 1,6-diaminohexane, hexamethyleneimine, tetraethylenepentamine (TEPA), branched polyethyleneimine (PEI), piperazine (PZ), and 4-amino-2-hydroxy-6-methylpyrimidine (PD) were used as impregnating agents. Impregnated materials were characterized by N-2 adsorption-desorption, elemental analysis and CO2 adsorption-desorption. CO2 analyses were performed at 45 degrees C with the aim of reproducing industrial post-combustion conditions. Relevant differences in CO2 uptake were assigned to the kind of amino group used and their position in the molecule (i.e., primary, secondary or tertiary, isolated, close to aromatic rings...). PEI, TEPA and PZ were also impregnated over SBA-AP, i.e., SBA-15 grafted with aminopropyl-trimethoxysilane (AP), by using a double functionalization method. CO2 uptake and amine efficiency (CO2/N molar ratio) were found to depend on the nature of the impregnating molecule. Improved stability and CO2 capture properties were obtained for samples impregnated over SBA-AP, achieving a CO2 adsorption capacity of 104 mg CO2/g ads (2.4 mmol CO2/g ads) for SBA-AP-TEPA (45 degrees C, 1 bar), with an amine efficiency of 0.32 mol CO2/mol N (SBA-AP-TEPA, 45 degrees C, 1 bar).;2016;1;0;
Impact of solvents and surfactants on the self-assembly of nanostructured amine functionalized silica spheres for CO2 capture;Macroscopic SiO2 spheres with a homogeneous amine distribution were synthesized by a one-step emulsion based synthesis approach in a flow column reactor. The CO2 adsorption capacity of the nano structured amine-functionalized silica spheres was studied in absence and presence of H2O. The structural properties were adjusted by varying solvents and surfactants during the synthesis and, at constant amine loadings, were found to be the main factor for influencing the CO2 sorption capacities. Under water-free conditions CO2 is bound to the amino groups via the formation of carbamates, which require two neighboring amino groups to adsorb one CO2 molecule. At constant amine concentrations sorbents with lower surface area allow to establish a higher amine density on the surface, which enhances the CO2 uptake capacities under dry conditions. In presence of H2O the CO2 adsorption changes to 1:1 stoichiometry due to stabilization of carbamates by protonation of H2O and formation of further species such as bicarbonates, which should in principle double the adsorption capacities. Low concentrations of physisorbed H2O (0.3 mmol/g) did not impair the adsorption capacity of the adsorbents for CO2, while at higher water uptakes (0.6 and 1.1 mmol/g) the CO2 uptake is reduced, which could be attributed to capillary condensation of H2O or formation of bulky reaction products blocking inner pores and access to active sites. (C) 2016 Science Press and Dalian Institute of Chemical Physics. All rights reserved.;2016;1;0;
Theoretical studies on CO2 capture behavior of quaternary ammonium-based polymeric ionic liquids;"Quaternary ammonium-based polymeric ionic liquids (PILs) are novel CO2 sorbents as they have high capacity, high stability and high binding energy. Moreover, the binding energy of ionic pairs to CO2 is tunable by changing the hydration state so that the sorbent can be regenerated through humidity adjustment. In this study, theoretical calculations were conducted to reveal the mechanism of the humidity swing CO2 adsorption, based on model compounds of quaternary ammonium cation and carbonate anions. The electrostatic potential map demonstrates the anion, rather than the cation, is chemically preferential for CO2 adsorption. Further, the proton transfer process from water to carbonate at the sorbent interface is successfully depicted with an intermediate which has a higher energy state. By determining the CO2 adsorption energy and activation energy at different hydration states, it is discovered that water could promote CO2 adsorption by reducing the energy barrier of proton transfer. The adsorption/desorption equilibrium would shift to desorption by adding water, which constitutes the theoretical basis for humidity swing. By analyzing the hydrogen bonding and structure of the water molecules, it is interesting to find that the CO2 adsorption weakens the hydrophilicity of the sorbent and results in release of water. The requirement of latent heat for the phase change of water could significantly reduce the heat of adsorption. The special ""self-cooling'' effect during gas adsorption can lower the temperature of the sorbent and benefit the adsorption isotherms.";2016;1;0;
Spectroscopic Investigation of the Mechanisms Responsible for the Superior Stability of Hybrid Class 1/Class 2 CO2 Sorbents: A New Class 4 Category;Hybrid Class 1/Class 2 supported amine CO2 sorbents demonstrate superior performance under practical steam conditions, yet their amine immobilization and stabilization mechanisms are unclear. Uncovering the interactions responsible for the sorbents' robust features is critical for further improvements and can facilitate practical applications. We employ solid state Si-29 CP-MAS and 2-D FSLG H-1-C-13 CP HETCOR NMR spectroscopies to probe the overall molecular interactions of aminosilane/silica, polyamine [poly(ethylenimine), PEI]/silica, and hybrid aminosilane/PEI/silica sorbents. A unique, sequential impregnation sorbent preparation method is executed in a diffuse reflectance infrared Fourier transform spectroscopy (DRIFTS) setup to decouple amine binding mechanisms at the amine silica interfacefrom those within bulk amine layers. These mechanisms are correlated with each sorbents' resistance to accelerated liquid H2O and TGA steam treatments (H2O stability) and to oxidative degradation (thermal stability). High percentages of CO2 capture retained (PCR) and organic content retained (OCR) values after H2O testing of N-(3-(trimethoxysilyl)propyl)ethylenediamine (TMPED)/PEI and (3-aminopropyl)trimethoxysilane (APTMS)/PEI hybrid sorbents are associated with a synergistic stabilizing effect of the amine species observed during oxidative degradation (thermal gravimetric analysis-differential scanning calorimetry, TGA-DSC). Solid state NMR spectroscopy reveals that the synergistic effect of the TMPED/PEI mixture is manifested by the formation of hydrogen-bonded PEI NH2 center dot center dot center dot NH2 TMPED and PEI NH2 HO Si/O Si-O (TMPED, T-2) linkages within the sorbent. DRIFTS further determines that PEI enhances the grafting of TMPED to silica and that PEI is dispersed among a stable network of polymerized TMPED in the bulk, utilizing H-bonded linkages. These findings provide the scientific basis for establishing a Class 4 category for aminosilane/polyamine/silica hybrid sorbents.;2016;1;0;
Ambient CO2 capture and storage in bioelectrochemically mediated wastewater treatment;This study reports that wastewater can be used to capture and store CO2 directly from ambient air and produce energy. The proof-of-concept system consisted of an ion exchange resin column that captures and concentrates ambient CO2 using a moisture-driven cycle. The concentrated CO2 was then transferred into a microbial electrochemical carbon capture (MECC) reactor for carbon sequestration and hydrogen production. Data from an average batch cycle showed that approximately 8 mmol/L CO2 was captured in the MECC cathode when 0.14 g/L COD was removed in the anode. With 90% hydrogen conversion efficiency, the energy intensity and CO2 absorption from the process could be 11.3 kJ/gCOD and 0.49 gCO(2)/gCOD respectively. If the proposed process is applied, over 68 million tons of atmospheric CO2 can be captured yearly during wastewater treatment in the US, which equates to significant economic values if CO2 taxes were to be implemented more widely. (C) 2016 Elsevier Ltd. All rights reserved.;2016;1;1;
Pore chemistry and size control in hybrid porous materials for acetylenecapture from ethylene;The trade-off between physical adsorption capacity and selectivity of porous materials is a major barrier for efficient gas separation and purification through physisorption. We report control over pore chemistry and size in metal coordination networks with hexafluorosilicate and organic linkers for the purpose of preferential binding and orderly assembly of acetylene molecules through cooperative host-guest and/or guest-guest interactions. The specific binding sites for acetylene are validated by modeling and neutron powder diffraction studies. The energies associated with these binding interactions afford high adsorption capacity (2.1 millimoles per gram at 0.025 bar) and selectivity (39.7 to 44.8) for acetylene at ambient conditions. Their efficiency for the separation of acetylene/ethylene mixtures is demonstrated by experimental breakthrough curves (0.73 millimoles per gram from a 1/99 mixture).;2016;0;0;
A Fine-Tuned Fluorinated MOF Addresses the Needs for Trace CO2 Removal and Air Capture Using Physisorption;The development of functional solid-state materials for carbon capture at low carbon dioxide (CO2) concentrations, namely, from confined spaces (<0.5%) and in particular from air (400 ppm), is of prime importance with respect to energy and environment sustainability. Herein, we report the deliberate construction of a hydrolytically stable fluorinated metal organic framework (MOF), NbOFFIVE-1-Ni, with the appropriate pore system (size, shape, and functionality), ideal for the effective and energy-efficient removal of trace carbon dioxide. Markedly, the CO2-selective NbOFFIVE-1-Ni exhibits the highest CO2 gravimetric and volumetric uptake (ca. 1.3 mmol/g and 51.4 cm(3) (STP) cm(-3)) for a physical adsorbent at 400 ppm of CO2 and 298 K. Practically, NbOFFIVE-1-Ni offers the complete CO2 desorption at 328 K under vacuum with an associated moderate energy input of 54 kJ/mol, typical for the full CO2 desorption in conventional physical adsorbents but considerably lower than chemical sorbents. Noticeably, the contracted square-like channels, affording the close proximity of the fluorine centers, permitted the enhancement of the CO2 framework interactions and subsequently the attainment of an unprecedented CO2 selectivity at very low CO2 concentrations. The precise localization of the adsorbed CO2 at the vicinity of the periodically aligned fluorine centers, promoting the selective adsorption of CO2, is evidenced by the single-crystal X-ray diffraction study on NbOFFIVE-1-Ni hosting CO2 molecules. Cyclic CO2/N-2 mixed-gas column breakthrough experiments under dry and humid conditions corroborate the excellent CO2 selectivity under practical carbon capture conditions. Pertinently, the notable hydrolytic stability positions NbOFFIVE-1-Ni as the new benchmark adsorbent for direct air capture and CO2 removal from confined spaces.;2016;1;0;
Early atmospheric detection of carbon dioxide from carbon capture and storage sites;The early atmospheric detection of carbon dioxide (CO2) leaks from carbon capture and storage (CCS) sites is important both to inform remediation efforts and to build and maintain public support for CCS in mitigating greenhouse gas emissions. A gas analysis system was developed to assess the origin of plumes of air enriched in CO2, as to whether CO2 is from a CCS site or from the oxidation of carbon compounds. The system measured CO2 and O-2 concentrations for different plume samples relative to background air and calculated the gas differential concentration ratio (GDCR = -O-2/CO2). The experimental results were in good agreement with theoretical calculations that placed GDCR values for a CO2 leak at 0.21, compared with GDCR values of 1-1.8 for the combustion of carbon compounds. Although some combustion plume samples deviated in GDCR from theoretical, the very low GDCR values associated with plumes from CO2 leaks provided confidence that this technology holds promise in providing a tool for the early detection of CO2 leaks from CCS sites. Implications: This work contributes to the development of a cost-effective technology for the early detection of leaks from sites where CO2 has been injected into the subsurface to enhance oil recovery or to permanently store the gas as a strategy for mitigating climate change. Such technology will be important in building public confidence regarding the safety and security of carbon capture and storage sites.;2016;0;0;
Poly(ethylenimine)-Functionalized Monolithic Alumina Honeycomb Adsorbents for CO2 Capture from Air;The development of practical and effective gas-solid contactors is an important area in the development of CO2 capture technologies. Target CO2 capture applications, such as post-combustion carbon capture and sequestration (CCS) from power plant flue gases or CO2 extraction directly from ambient air (DAC), require high flow rates of gas to be processed at low cost. Extruded monolithic honeycomb structures, such as those employed in the catalytic converters of automobiles, have excellent potential as structured contactors for CO2 adsorption applications because of the low pressure drop imposed on fluid moving through the straight channels of such structures. Here, we report the impregnation of poly(ethylenimine) (PEI), an effective aminopolymer reported commonly for CO2 separation, into extruded monolithic alumina to form structured CO2 sorbents. These structured sorbents are first prepared on a small scale, characterized thoroughly, and compared with powder sorbents with a similar composition. Despite consistent differences observed in the filling of mesopores with PEI between the monolithic and powder sorbents, their performance in CO2 adsorption is similar across a range of PEI contents. A larger monolithic cylinder (1 inch diameter, 4 inch length) is evaluated under conditions closer to those that might be used in large-scale applications and shows a similar performance to the smaller monoliths and powders tested initially. This larger structure is evaluated over five cycles of CO2 adsorption and steam desorption and demonstrates a volumetric capacity of 350 mol(CO2) m(monolith)(-3) and an equilibration time of 350 min under a 0.4 ms(-1) linear flow velocity through the monolith channels using 400 ppm CO2 in N-2 as the adsorption gas at 30 degrees C. This volumetric capacity surpasses that of a similar technology considered previously, which suggested that CO2 could be removed from air at an operating cost as low as $100 per ton.;2016;1;1;X
An Initial Laboratory Prototype Experiment for Sequestration of Atmospheric CO2;An initial phase of laboratory investigation has been completed in pursuit of a global-scale methodology for reduction of CO2 in ambient air through direct air capture (DAC). The methodology presented previously by Agee, Orton, and Rogers provides the background for this study. The laboratory prototype experiment presented has been designed to assess the potential for removing CO2 from ambient air by snow deposition. The approach consists of refrigeration to achieve the required CO2 deposition temperature of 135 K at 1 bar of pressure. The refrigerant of choice is liquid nitrogen (LN2) with cooling (77 K) at the top of a cylindrical 26.5-L Pyrex glass sequestration chamber. A highly conductive aluminum base with 14 instrumentation ports rests at the interface between the LN2 reservoir and the sequestration chamber. The cooling and mixing through Rayleigh-Taylor instability achieves uniform deposition temperature. Insulation to maintain the cooling process is provided to sustain CO2 depletion phase change at 135 K. The coldest temperature achieved in experimentation was 125 K. The required cooling period was 4.5 h, with an additional hour to achieve uniform chamber temperatures <= 135 K through top-down convective mixing. Experimental measurements showed a reduction of CO2 in the chamber air from initial values of similar to 500 ppmv down to 35 ppmv. Discussion is given to the issue of chamber CO2 frost versus CO2 snowflake formation, as well as the overall relevance of the experiment to DAC through refrigeration and storage in Antarctica to reduce atmospheric CO2.;2016;1;1;
Direct Evidence of CO2 Capture under Low Partial Pressure on a Pillared Metal-Organic Framework with Improved Stabilization through Intramolecular Hydrogen Bonding;"Direct structural observation of CO2-loaded MOFs is helpful for revealing the specific binding interactions to allow the design of better CO2 sorbents, but such direct structural evidence is almost always observed for pure-component CO2 under a pressure of 1 atm or more, which does not really represent practical CO2 capture and separation under low partial pressure (<= 1 atm) in the presence of other gases. Herein, a series of isoreticular MOFs [Zn(Trz)(R-BDC)(1/2)] (FJU-40-R, R=H, NH2, Br, or OH) are synthesized. Among them, FJU-40-NH2 exhibits the highest robustness, and good heat and water resistance, attributed to its intramolecular hydrogen-bonding interactions. A CO2/N-2 (15: 85, v/v) mixture can be separated efficiently through a column packed bed of FJU-40-NH2 solid. The structures of CO2-loaded FJU-40-NH2 at 1 atm under various atmosphere conditions, including pure CO2, CO2/N-2 (15: 85, v/v), and air, are observed, and it is found that: 1) the mechanism for CO2 loading into the cages depends on the CO2 partial pressure; 2) FJU40-NH2 can capture CO2 directly from air, and CO2 will have priority to occupy hydrophobic cage-I, whereas hydrophilic cage-II containing the amino group is occupied by H2O molecules; 3) the triazolate C-H groups, rather than the amino groups in past observations in dry ice, act as predominant functional sites here under low CO2 partial pressure.";2016;1;0;
On Thermodynamic Separation Efficiency: Adsorption Processes;"A simplified thermodynamic analysis of adsorption processes in temperature swing adsorption (TSA) and pressure swing adsorption (PSA) modes as a function of adsorbate concentration and the adsorbent-adsorbate interaction strength is presented in this article. The thermodynamic separation efficiency of a TSA process is optimal at dilute feed conditions, and becomes more thermodynamically efficient with increasing adsorbate affinity even though the energy of separation increases. The adsorption process is spontaneous, and for a strong isotherm, the energy required to reverse the adsorption is nearly independent of the adsorbate concentration as adsorbate loading in nearly-saturated materials is essentially constant with feed concentration. PSA units are efficient thermodynamically and the efficiency increases with the concentration of the desired adsorbate. This thermodynamic treatment has implications for separation processes that address carbon emissions. TSA systems operate more efficiently (thermodynamically) in the ""air capture"" case because they apply work to the concentrated product rather than the dilute feed. (C) 2016 American Institute of Chemical Engineers AIChE J, 62: 3699-3705, 2016";2016;0;0;
Noria: A Highly Xe-Selective Nanoporous Organic Solid;"Separation of xenon and krypton is of industrial and environmental concern; the existing technologies use cryogenic distillation. Thus, a cost-effective, alternative technology for the separation of Xe and Kr and their capture from air is of significant importance. Herein, we report the selective Xe uptake in a crystalline porous organic oligomeric molecule, noria, and its structural analogue, PgC-noria, under ambient conditions. The selectivity of noria towards Xe arises from its tailored pore size and small cavities, which allows a directed non-bonding interaction of Xe atoms with a large number of carbon atoms of the noria molecular wheel in a confined space.";2016;0;0;
Putting an ultrahigh concentration of amine groups into a metal-organic framework for CO2 capture at low pressures;Tremendous efforts have been devoted to increasing the CO2 capture performance of porous materials, especially for low CO2 concentration environments. Here, we report that hydrazine can be used as a diamine short enough to functionalize the small-pore metal-organic framework [Mg-2(dobdc)] (H(4)dobdc = 2,5-dihydroxyl-1,4-benzenedicarboxylic acid). By virtue of the ultra-high concentration of free amine groups (6.01 mmol g(-1) or 7.08 mmol cm(-3)) capable of reversible carbamic acid formation, the new material [Mg-2(dobdc)(N2H4)(1.8)] achieves a series of new records for CO2 capture, such as single-component isotherm uptakes of 3.89 mmol g(-1) or 4.58 mmol cm(-3) at the atmospheric CO2 concentration of 0.4 mbar at 298 K and 1.04 mmol g(-1) or 1.22 mmol cm(-3) at 328 K, as well as more than a 4.2 mmol g(-1) or 4.9 mmol cm(-3) adsorption/desorption working capacity under dynamic mixed-gas conditions with CO2 concentrations similar to those in flue gases and ambient air.;2016;1;0;
Capture of CO2 in air for 4,5-disubstituted furan-2(5H)-ones;A highly efficient strategy for carbon dioxide capture and utilization (CCU) was applied to the synthesis of 4,5-disubstituted furan-2(5H)-ones by a Cu(I)/base catalytic system. An aqueous morpholine solution as a superior adsorbent for the capture of carbon dioxide directly from air was recycled continuously via adsorption/desorption cycles.;2016;1;0;
Epoxide-functionalization of polyethyleneimine for synthesis of stable carbon dioxide adsorbent in temperature swing adsorption;Amine-containing adsorbents have been extensively investigated for post-combustion carbon dioxide capture due to their ability to chemisorb low-concentration carbon dioxide from a wet flue gas. However, earlier studies have focused primarily on the carbon dioxide uptake of adsorbents, and have not demonstrated effective adsorbent regeneration and long-term stability under such conditions. Here, we report the versatile and scalable synthesis of a functionalized-polyethyleneimine (PEI)/silica adsorbent which simultaneously exhibits a large working capacity (2.2 mmol g(-1)) and long-term stability in a practical temperature swing adsorption process (regeneration under 100% carbon dioxide at 120 degrees C), enabling the separation of concentrated carbon dioxide. We demonstrate that the functionalization of PEI with 1,2-epoxybutane reduces the heat of adsorption and facilitates carbon dioxide desorption (499%) during regeneration compared with unmodified PEI (76%). Moreover, the functionalization significantly improves long-term adsorbent stability over repeated temperature swing adsorption cycles due to the suppression of urea formation and oxidative amine degradation.;2016;1;0;
Direct Air Capture of CO2 Using Amine Functionalized MIL-101(Cr);Direct adsorption of CO2 from ambient air, also known as direct air capture (DAC), is gaining attention as a complementary approach to processes that capture CO2 from more concentrated sources such as flue gas. Oxide-supported amine materials are effective materials for CO2 capture from dilute gases, but less work has been done on metal organic framework (MOF) supported amine materials. Use of MOFs as supports for amines could be a versatile approach to the creation of effective amine adsorbents because of the tunability of MOF structures. In the present work, MIL-101(Cr) materials functionalized with amine species are evaluated for CO2 capture from simulated air. Two amines are loaded into the MOF pores, tris (2-amino ethyl) (TREN) and low molecular weight, branched poly(ethylene imine) (PEI 800), at different amine loadings. The MIL-101(Cr)-TREN composites showed high CO2 capacities for high loadings of TREN, but a significant loss of amines is observed over multicycle temperature swing adsorption experiments. In contrast, MIL-101(Cr)-PEI-800 shows better cyclic stability. The amine efficiency (mol CO2/mol amine) as a function of amine loading is used as a metric to characterize the adsorbents. The amine efficiency in MIL-101(Cr)-PEI-800 showed a strong dependence on the amine loading, with a step change to high amine efficiencies occurring at similar to 0.8 mmol PEI/g MOF. The kinetics of CO2 capture, which have important implications for the working capacity of the adsorbent, are also examined, demonstrating that a MIL-101(Cr)-PEI-800 sample with a 1-1.1 mmol PEI/g MOF loading has an excellent balance of CO2 capacity and CO2 adsorption kinetics.;2016;1;0;
Direct Capture of CO2 from Ambient Air;"The increase in the global atmospheric CO2 concentration resulting from over a century of combustion of fossil fuels has been associated with significant global climate change. With the global population increase driving continued increases in fossil fuel use,, humanity's primary reliance on fossil energy for the next several decades is assured. Traditional modes of carbon capture such as precombustion and postcombustion CO2 capture from large point sources can help slow the rate of increase of the atmospheric CO2 concentration, but only the direct removal of CO2 from the air, or ""direct air capture"" (DAC), can actually reduce the global atmospheric CO2 concentration. The past decade has seen a steep rise in the use of chemical sorbents that are cycled through sorption and desorption cycles for CO, removal from ultradilute gases such as air. This Review provides a historical overview of the field of DAC, along with an exhaustive description of the use of chemical sorbents targeted at this application. Solvents and solid sorbents that interact strongly with CO2 are described, including basic solvents, supported amine and ammonium materials, and metal-organic frameworks (MOFs), as the primary classes of chemical sorbents. Hypothetical processes for the deployment of such sorbents are discussed, as well as the limited array of technoeconomic analyses published on DAC. Overall, it is concluded that there are many new materials that could play a role in emerging DAC technologies. However, these materials need to be further investigated and developed with a practical sorbent-air contacting process in mind if society is to make rapid progress in deploying DAC as a means of mitigating climate change.";2016;1;1;X
Cutting the cost of carbon capture: a case for carbon capture and utilization;A significant part of the cost for carbon capture and storage ( CCS) is related to the compression of captured CO2 to its supercritical state, at 150 bar and typically 99% purity. These stringent conditions may however not always be necessary for specific cases of carbon capture and utilization ( CCU). In this manuscript, we investigate how much the parasitic energy of an adsorbent-based carbon capture process may be lowered by utilizing CO2 at 1 bar and adapting the final purity requirement for CO2 from 99% to 70% or 50%. We compare different CO2 sources: the flue gases of coal-fired or natural gas-fired power plants and ambient air. We evaluate the carbon capture performance of over 60 nanoporous materials and determine the influence of the initial and final CO2 purity on the parasitic energy of the carbon capture process. Moreover, we demonstrate the underlying principles of the parasitic energy minimization in more detail using the commercially available NaX zeolite. Finally, the calculated utilization cost of CO2 is compared with the reported prices for CO2 and published costs for CCS.;2016;1;1;X
Photocatalytic CO2 conversion over Au/TiO2 nanostructures for dynamic production of clean fuels in a monolith photoreactor;Global economic development intensifies the consumption of fossil fuels which results in increase of carbon dioxide (CO2) concentration in the atmosphere. The technologies for carbon capture and utilization to produce cleaner fuels are of great significance. However, phototechnology provides one perspective for economical CO2 conversion to cleaner fuels. In this study, CO2 conversion with H-2 to selective fuels over Au/TiO2 nanostructures using environment friendly continuous monolith photoreactor has been investigated. Crystalline nanoparticles of anatase TiO2 were obtained in the Au-doped TiO2 samples. The Au deposited over TiO2 in metal state produced plasmonic resonance. CO2 was efficiently converted to CO as the main product over Au/TiO2 with a maximum yield rate of 4144 A mu mol g-catal.(-1) h(-1), 345 fold-higher than using un-doped TiO2 catalyst. The significantly enhanced photoactivity of Au/TiO2 catalyst was due to hindered charges recombination rate and Au metallic-interband transition. The photon energy in the UV range was high enough to excite the d-band electronic transition in the Au to produce CO, CH4, and C2H6. The quantum efficiency over Au/TiO2 catalyst for CO was considerably improved in the continuous monolith photoreactor. At higher space velocity, the yield rates of CO gradually reduced, but the initial rates of hydrocarbon yields increased. The stability of the recycled Au/TiO2 catalyst was sustained in cyclic runs. Thus, Au-doped TiO2 supported over monolith channels is promising for enhanced CO2 photoreduction to high energy products. This provides pathway that phototechnology to be explored further for cleaner and economical fuels production.;2016;1;1;
Amine hybrid aerogel for high-efficiency CO2 capture: Effect of amine loading and CO2 concentration;The objective of this research was to develop a high-performance CO2 adsorbent by a simple, cost-effective and environmental-friendly route based on amine hybrid aerogel. A new amine hybrid titania/silsesquioxane composite aerogel (AHTSA) was prepared by a one-pot sol-gel process followed by supercritical drying (SCD). The wet gel was obtained by orderly mixing all the reactants in a container without adding any catalyst. SCD was conducted without contaminant emission. Effects of amine loading and CO2 concentration on pores structure and CO2 adsorption performance of AHTSA were investigated. Higher amine loading leads to lower specific surface area and mesopore volume of AHTSA, due to the increase of large pores and diminishment of mesopores when increasing the amine loading. Resulting from the sharp decrease of the surface area, overdosing of the amine precursor negatively affects the surface amine content of AHTSA and thus reduces its CO2 adsorption capacity. High CO2 concentration favors the CO2 adsorption capacity and rate as concentrated CO2 favors the CO2 diffusion in the pore space of the adsorbent, enhances the interaction between CO2 and surface amine groups. The dry CO2 adsorption capacity of AHTSA increases from 1.64, 4.19 to 6.66 mmol/g when the CO2 concentration of the mixture gas varies from 400 ppm (air), 1% to 10%. Short adsorption halftime and high amine efficiency of AHTSA with different CO2 concentrations reveal that AHTSA is a dynamic and effective adsorbent for CO2 capture, even direct air capture. (C) 2016 Elsevier B.V. All rights reserved.;2016;1;0;
CO2 capture by amines in aqueous media and its subsequent conversion to formate with reusable ruthenium and iron catalysts;Conversion of carbon dioxide (CO2) captured from industrial sources (e.g. flue gas of power plants) or even from ambient air to value-added chemicals/fuels through CO2 capture and utilization (CCU) as a possible strategy to mitigate anthropogenic CO2 emissions to the atmosphere is proposed. In this context, combining the CO2 capture and utilization steps to generate fuels instead of going through the intermediate desorption and compression of captured CO2 has started to attract considerable interest as a way to lower the energy demand for the CO2 recovery processes involved in usual carbon capture and storage/sequestration approach. The main focus of this study is CO2 capture in aqueous amine solutions and conversion of the in situ formed ammonium carbamate/bicarbonate/carbonate to ammonium formate. The amines selected for this process served the dual purpose of capturing CO2 and stabilizing the formate product. The captured CO2 was selectively converted to formate (up to 95% yield) using, among others, superbases, in the presence of Ru- and Fe-based pincer complexes under moderate reaction conditions (50 bar H-2 at 55 degrees C). By performing a biphasic reaction (water/Me-THF), the catalyst was recycled for five consecutive cycles and a TON > 7000 was obtained for the formation of ammonium formate from captured CO2. Overall, a green and straightforward approach to produce formate from captured CO2 is presented here.;2016;1;0;
Enhanced Adsorption Efficiency through Materials Design for Direct Air Capture over Supported Polyethylenimine;Until recently, carbon capture and sequestration (CCS) was regarded as the most promising technology to address the alarming increase in the concentration of anthropogenic CO2 in the atmosphere. There is now an increasing interest in carbon capture and utilization (CCU). In this context, the capture of CO2 from air is an ideal solution to supply pure CO2 wherever it is needed. Here, we describe innovative materials for direct air capture (DAC) with unprecedented efficiency. Polyethylenimine (PEI) was supported on PME, which is an extra-large-pore silica (pore-expanded MCM-41) with its internal surfaces fully covered by a uniform layer of readily accessible C-16 chains from cetyltrimethylammonium (CTMA(+)) cations. The CTMA(+) layer plays a key role in enhancing the amine efficiency toward dry or humid ultradilute CO2 (400 ppm CO2/N-2) to unprecedented levels. At the same PEI content, the amine efficiency of PEI/PME was two to four times higher than that of the corresponding calcined mesoporous silica loaded with PEI or with different combinations of C-16 chains and PEI. Under humid conditions, the amine efficiency of 40 wt% PEI/PME reached 7.31 mmol(CO2)/g(PEI), the highest ever reported for any supported PEI in the presence of 400 ppm CO2. Thus, amine accessibility, which reflects both the state of PEI dispersion and the adsorption efficiency, is intimately associated with the molecular design of the adsorbent.;2016;1;0;
Incorporation of Alkylamine into Metal-Organic Frameworks through a Bronsted Acid-Base Reaction for CO2 Capture;The escalating atmospheric CO2 concentration is one of the most urgent environmental concerns of our age. To effectively capture CO2, various materials have been studied. Among them, alkylamine-modified metal-organic frameworks (MOFs) are considered to be promising candidates. In most cases, alkylamine molecules are integrated into MOFs through the coordination bonds formed between open metal sites (OMSs) and amine groups. Thus, the alkylamine density, as well as the corresponding CO2 uptake in MOFs, are severely restricted by the density of OMSs. To overcome this limit, other approaches to incorporating alkylamine into MOFs are highly desired. We have developed a new method based on Bronsted acid-base reaction to tether alkylamines into Cr-MIL-101-SO3H for CO2 capture. A systematic optimization of the amine tethering process was also conducted to maximize the CO2 uptake of the modified MOF. Under the optimal amine tethering condition, the obtained tris(2-aminoethyl) amine-functionalized Cr-MIL101- SO3H (Cr-MIL-101-SO3H-TAEA) has a cyclic CO2 uptake of 2.28 mmol g(-1) at 150 mbar and 40 degrees C, and 1.12 mmol g(-1) at 0.4 mbar and 20 degrees C. The low-cost starting materials and simple synthetic procedure for the preparation of Cr-MIL-101-SO3H-TAEA suggest that it has the potential for large-scale production and practical applications.;2016;1;1;
